"site","description"
"http://armutsbericht.de","Bundesministerium für Arbeit und Soziales"
"http://armutsundreichtumsbericht.de","Bundesministerium für Arbeit und Soziales"
"http://asse.bund.de","Bundesamt für Strahlenschutz"
"http://ausbildungsportal.org","Bundesverwaltungsamt"
"http://auslandschulwesen.de","Bundesverwaltungsamt"
"http://auslandsschulportal.de","Bundesverwaltungsamt"
"http://auslandsschulwesen.de","Bundesverwaltungsamt"
"http://auslandsschulwesen.eu","Bundesverwaltungsamt"
"http://auslandsschulwesen.net","Bundesverwaltungsamt"
"http://aussiedlerbeauftragter.de","Beauftragter für Aussiedlerfragen und nationale Minderheiten"
"http://auswaertiges-amt.de","Auswärtiges Amt"
"http://auswanderungswesen.de","Bundesverwaltungsamt"
"http://aviation-weather.eu","Deutscher Wetterdienst"
"http://baainbw.de","Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr"
"http://badv.bund.de","Bundesamt für zentrale Dienste und offene Vermögensfragen"
"http://bafa.de","Bundesamt für Wirtschaft und Ausfuhrkontrolle"
"http://baf.bund.de","Bundesaufsichtsamt für Flugsicherung"
"http://bafg.de","Bundesanstalt für Gewässerkunde"
"http://bafoeg.online","Bundesverwaltungsamt"
"http://bafoeg-rueckzahlung.de","Bundesverwaltungsamt"
"http://bafza.de","Bundesamt für Familie und zivilgesellschaftliche Aufgaben"
"http://bag.bund.de","Bundesamt für Güterverkehr"
"http://ballonwetter.de","Deutscher Wetterdienst"
"http://ballonwetter.eu","Deutscher Wetterdienst"
"http://bam.de","Bundesanstalt für Materialforschung und -prüfung"
"http://bamf.de","Bundesamt für Migration und Flüchtlinge"
"http://bankenunion.de","Bundesministerium der Finanzen"
"http://banu.bund.de","Informationstechnikzentrum Bund"
"http://ba-reform.de","Bundesministerium für Arbeit und Soziales"
"http://bast.de","Bundesanstalt für Straßenwesen"
"http://bauminister.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bav.bund.de","Bundesanstalt für Verwaltungsdienstleistungen"
"http://baw.de","Bundesanstalt für Wasserbau"
"http://bbk.bund.de","Bundesamt für Bevölkerungsschutz und Katastrophenhilfe"
"http://bbr.bund.de","Bundesamt für Bauwesen und Raumordnung"
"http://bdbos.bund.de","Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben"
"http://behindern-ist-heilbar.de","Bundesministerium für Arbeit und Soziales"
"http://beirat-raumentwicklung.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bescha.bund.de","Beschaffungsamt des Bundesministeriums des Innern"
"http://beschaeftigtebeteiligen.de","Bundesministerium für Arbeit und Soziales"
"http://beschaeftigung-aelterer.de","Bundesministerium für Arbeit und Soziales"
"http://xn--beschftigtebeteiligen-91b.de","Bundesministerium für Arbeit und Soziales"
"http://xn--beschftigung-gestalten-44b.de","Bundesministerium für Arbeit und Soziales"
"http://bev.bund.de","Bundeseisenbahnvermögen"
"http://bevoelkerungsschutz.de","Bundesamt für Bevölkerungsschutz und Katastrophenhilfe"
"http://bezuegerechner.bva.bund.de","Bundesverwaltungsamt"
"http://bfarm.de","Bundesinstitut für Arzneimittel und Medizinprodukte"
"http://bfb-bund.de","Bundesmonopolverwaltung für Branntwein"
"http://bfdi.bund.de","Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit"
"http://bfe.bund.de","Bundesamt für kerntechnische Entsorgung"
"http://bfn.de","Bundesamt für Naturschutz"
"http://bfr.bund.de","Bundesinstitut für Risikobewertung"
"http://bfs.de","Bundesamt für Strahlenschutz"
"http://bfu-web.de","Bundesstelle für Flugunfalluntersuchung"
"http://bgr.bund.de","Bundesanstalt für Geowissenschaften und Rohstoffe"
"http://bildungskredit.de","Bundesverwaltungsamt"
"http://bildungskredit.online","Bundesverwaltungsamt"
"http://bildungspaket-bmas.de","Bundesministerium für Arbeit und Soziales"
"http://bildungszentrum.bundeswehr.de","Bildungszentrum der Bundeswehr"
"http://bisp.de","Bundesinstitut für Sportwissenschaft"
"http://bit.bund.de","Informationstechnikzentrum Bund"
"http://bitv-lotse.bund.de","Bundesministerium für Arbeit und Soziales"
"http://bitvlotse.de","Bundesministerium für Arbeit und Soziales"
"http://bka-bund.de","Bundeskriminalamt"
"http://bka.de","Bundeskriminalamt"
"http://bkg.bund.de","Bundesamt für Kartographie und Geodäsie"
"http://ble.de","Bundesanstalt für Landwirtschaft und Ernährung"
"http://blickpunkt-bundestag.de","Bundestag"
"http://bma.de","Bundesministerium für Arbeit und Soziales"
"http://bmas-alleinerziehende.de","Bundesministerium für Arbeit und Soziales"
"http://bmas.de","Bundesministerium für Arbeit und Soziales"
"http://bmas.eu","Bundesministerium für Arbeit und Soziales"
"http://bmas.mobi","Bundesministerium für Arbeit und Soziales"
"http://bmbf.de","Bundesministerium für Bildung und Forschung"
"http://bmel.de","Bundesministerium für Ernährung und Landwirtschaft"
"http://bmfsfj.de","Bundesministerium für Familie, Senioren, Frauen und Jugend"
"http://bmg.bund.de","Bundesministerium für Gesundheit"
"http://bmi.bund.de","Bundesministerium des Innern"
"http://bmjv.de","Bundesministerium der Justiz und für Verbraucherschutz"
"http://bmub.bund.de","Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit"
"http://bmvbs.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bmvg.de","Bundesministerium der Verteidigung"
"http://bmvi.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bmvi.eu","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bmvi.info","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bmvi.net","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bmvi.org","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bmwi.de","Bundesministerium für Wirtschaft und Energie"
"http://bmz.de","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung"
"http://bnd.de","Bundesnachrichtendienst"
"http://bpatg.de","Bundespatentgericht"
"http://bpb.de","Bundeszentrale für politische Bildung"
"http://breitbandatlas.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://briefing4aviation.com","Deutscher Wetterdienst"
"http://briefing4aviation.de","Deutscher Wetterdienst"
"http://briefing4aviation.eu","Deutscher Wetterdienst"
"http://briefing4pilot.com","Deutscher Wetterdienst"
"http://briefing4pilot.de","Deutscher Wetterdienst"
"http://briefing4pilot.eu","Deutscher Wetterdienst"
"http://bsg.bund.de","Bundessozialgericht"
"http://bsh.de","Bundesamt für Seeschifffahrt und Hydrographie"
"http://bsi.bund.de","Bundesamt für Sicherheit in der Informationstechnik"
"http://bspc2007.de","Bundestag"
"http://bstu.bund.de","Bundesbeauftragter für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR"
"http://bsu-bund.de","Bundesstelle für Seeunfalluntersuchung"
"http://budget.bmas.de","Bundesministerium für Arbeit und Soziales"
"http://budget.bmas.mobi","Bundesministerium für Arbeit und Soziales"
"http://bund.de","Bundesverwaltungsamt"
"http://bundesarbeitsgericht.de","Bundesarbeitsgericht"
"http://bundesarbeitsministerium.de","Bundesministerium für Arbeit und Soziales"
"http://bundesarbeitsministerium.eu","Bundesministerium für Arbeit und Soziales"
"http://bundesarchiv.de","Bundesarchiv"
"http://bundesausgleichsamt.de","Bundesausgleichsamt"
"http://bundesbank.de","Deutsche Bundesbank"
"http://bundesbauminister.com","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesbauminister.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesbauministerium.com","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesbauministerium.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesbauministerium.net","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesbauministerium.org","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesbauminister.net","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesbauminister.org","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundescriminalamt.de","Bundeskriminalamt"
"http://bundesfinanzhof.de","Bundesfinanzhof"
"http://bundesfinanzministerium.de","Bundesministerium der Finanzen"
"http://bundesgerichtshof.de","Bundesgerichtshof"
"http://bundeshaus.de","Bundestag"
"http://bundeshaushalt-info.de","Bundesministerium der Finanzen"
"http://bundesinfrastrukturministerium.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesjustizamt.de","Bundesamt für Justiz"
"http://bundeskanzleramt.de","Bundeskanzleramt"
"http://bundeskanzlerin.de","Bundeskanzlerin"
"http://bundeskartellamt.de","Bundeskartellamt"
"http://bundeskriminalamt.de","Bundeskriminalamt"
"http://bundeskriminalamt.eu","Bundeskriminalamt"
"http://bundeskriminalamt.info","Bundeskriminalamt"
"http://bundeskriminalamt.net","Bundeskriminalamt"
"http://bundeskriminalamt.org","Bundeskriminalamt"
"http://bundesministerium-fuer-arbeit-und-soziales.eu","Bundesministerium für Arbeit und Soziales"
"http://bundesministerium-fuer-stadtentwicklung.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesnetzagentur.de","Bundesnetzagentur"
"http://bundespolizei.de","Bundespolizeipräsidium"
"http://bundespraesident.de","Bundespräsident"
"http://bundespruefstelle.de","Bundesprüfstelle für jugendgefährdende Medien"
"http://bundesrat.de","Bundesrat"
"http://bundesrechnungshof.de","Bundesrechnungshof"
"http://bundesregierung.de","Bundesregierung"
"http://bundessortenamt.de","Bundessortenamt"
"http://bundessozialgericht.de","Bundessozialgericht"
"http://bundessozialministerium.de","Bundesministerium für Arbeit und Soziales"
"http://bundessozialministerium.eu","Bundesministerium für Arbeit und Soziales"
"http://bundessprachenamt.de","Bundessprachenamt"
"http://bundesstelle-fuer-informationstechnik.de","Bundesverwaltungsamt"
"http://bundestag.de","Deutscher Bundestag"
"http://bundestag.eu","Bundestag"
"http://bundestag-magazin.de","Bundestag"
"http://bundestag.mobi","Bundestag"
"http://bundestag-online.de","Bundestag"
"http://bundestagsarena.de","Bundestag"
"http://bundestagspraesident.de","Bundestag"
"http://bundestagspraesidentin.de","Bundestag"
"http://bundestag-und-schule.de","Bundestag"
"http://bundesverfassungsgericht.de","Bundesverfassungsgericht"
"http://bundesverkehrsminister.com","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesverkehrsminister.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesverkehrsministerium.com","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesverkehrsministerium.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesverkehrsministerium.net","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesverkehrsministerium.org","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesverkehrsminister.net","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesverkehrsminister.org","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bundesversammlung.de","Bundestag"
"http://bundesversicherungsamt.de","Bundesversicherungsamt"
"http://bundesverwaltungsamt.de","Bundesverwaltungsamt"
"http://bundesverwaltungsgericht.de","Bundesverwaltungsgericht"
"http://bundeswahlleiter.de","Der Bundeswahlleiter"
"http://bund.online","Bundesverwaltungsamt"
"http://bund.services","Bundesverwaltungsamt"
"http://bva.bund.de","Bundesverwaltungsamt"
"http://bva-dienstleistungszentrum.de","Bundesverwaltungsamt"
"http://bva.services","Bundesverwaltungsamt"
"http://bva.website","Bundesverwaltungsamt"
"http://bvl.bund.de","Bundesamt für Verbraucherschutz und Lebensmittelsicherheit"
"http://bvwp2015.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://bzga.de","Bundeszentrale für gesundheitliche Aufklärung"
"http://bzst.bund.de","Bundeszentralamt für Steuern"
"http://caf-netzwerk.de","Bundesverwaltungsamt"
"http://cert-bund.de","Bundesamt für Sicherheit in der Informationstechnik"
"http://cerwis.eu","Deutscher Wetterdienst"
"http://chancen-mit-erfahrung.de","Bundesministerium für Arbeit und Soziales"
"http://CIEC-Deutschland.de","Bundesministerium des Innern"
"http://cio.bund.de","Der Beauftragte der Bundesregierung für Informationstechnik"
"http://climatemonitoring.de","Deutscher Wetterdienst"
"http://climatemonitoring.eu","Deutscher Wetterdienst"
"http://climateservice.eu","Deutscher Wetterdienst"
"http://climateservices.de","Deutscher Wetterdienst"
"http://climateservices.eu","Deutscher Wetterdienst"
"http://cmsaf.eu","Deutscher Wetterdienst"
"http://csrindeutschland.de","Bundesministerium für Arbeit und Soziales"
"http://csringermany.de","Bundesministerium für Arbeit und Soziales"
"http://csrmadeingermany.de","Bundesministerium für Arbeit und Soziales"
"http://csr-preis-bund.de","Bundesministerium für Arbeit und Soziales"
"http://csr-unternehmenswerte.de","Bundesministerium für Arbeit und Soziales"
"http://das-bildungspaket.de","Bundesministerium für Arbeit und Soziales"
"http://das-demographie-netzwerk.de","Bundesministerium für Arbeit und Soziales"
"http://das-halbe-leben.com","Bundesministerium für Arbeit und Soziales"
"http://dashalbeleben.de","Bundesministerium für Arbeit und Soziales"
"http://das-halbe-leben.net","Bundesministerium für Arbeit und Soziales"
"http://das-jobcenter.de","Bundesministerium für Arbeit und Soziales"
"http://das-parlament.de","Bundestag"
"http://das-rentenpaket.de","Bundesministerium für Arbeit und Soziales"
"http://das-rentenreformpaket.de","Bundesministerium für Arbeit und Soziales"
"http://datenhandbuch-bundestag.de","Bundestag"
"http://dates-esf.de","Bundesministerium für Arbeit und Soziales"
"http://dates-esf-test.de","Bundesministerium für Arbeit und Soziales"
"http://dbtg.eu","Bundestag"
"http://dbtg-newsletter.de","Bundestag"
"http://dbtg.tv","Bundestag"
"http://dbt-internet.de","Bundestag"
"http://dehst.de","Deutsche Emissionshandelsstelle"
"http://demograf.de","Bundesministerium für Arbeit und Soziales"
"http://derbevoelkerung.de","Bundestag"
"http://der-demograf.de","Bundesministerium für Arbeit und Soziales"
"http://der-mindestlohn.de","Bundesministerium für Arbeit und Soziales"
"http://der-mindestlohn-gilt.de","Bundesministerium für Arbeit und Soziales"
"http://der-mindestlohn-kommt.de","Bundesministerium für Arbeit und Soziales"
"http://der-mindestlohn-wirkt.de","Bundesministerium für Arbeit und Soziales"
"http://destatis.de","Statistisches Bundesamt"
"http://deutsche-polizei.eu","Bundeskriminalamt"
"http://deutscher-bundestag.de","Bundestag"
"http://deutscher-bundestag.eu","Bundestag"
"http://deutscherdom.de","Bundestag"
"http://deutscher-klimaatlas.de","Deutscher Wetterdienst"
"http://deutscher-wetterdienst.com","Deutscher Wetterdienst"
"http://deutscher-wetterdienst.de","Deutscher Wetterdienst"
"http://deutscher-wetterdienst.eu","Deutscher Wetterdienst"
"http://deutschesheer.de","Kommando Heer"
"http://deutsches-klimaportal.de","Deutscher Wetterdienst"
"http://deutsches-parlament.eu","Bundestag"
"http://deutschland-wird-inklusiv.de","Bundesministerium für Arbeit und Soziales"
"http://dienstleistungszentrum.de","Bundesverwaltungsamt"
"http://dienstreisezentrum.de","Bundesverwaltungsamt"
"http://die-rente.com","Bundesministerium für Arbeit und Soziales"
"http://die-rente.info","Bundesministerium für Arbeit und Soziales"
"http://die-rente.net","Bundesministerium für Arbeit und Soziales"
"http://die-rente.org","Bundesministerium für Arbeit und Soziales"
"http://digitaleautobahn.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://digitales-testfeld-autobahn.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://digitalestestfeld.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://dimdi.de","Deutsches Institut für Medizinische Dokumentation und Information"
"http://dip21.de","Bundestag"
"http://dip-online.de","Bundestag"
"http://d-klip.de","Deutscher Wetterdienst"
"http://doi-de.net","Bundesverwaltungsamt"
"http://doi-sec-de.net","Bundesverwaltungsamt"
"http://dpma.de","Deutsches Patent- und Markenamt"
"http://dsd.online","Bundesverwaltungsamt"
"http://dsd-weltweit.de","Bundesverwaltungsamt"
"http://dta9.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://dvdv.de","Bundesverwaltungsamt"
"http://dwd.bund.de","Deutscher Wetterdienst"
"http://dwd.de","Deutscher Wetterdienst"
"http://dwd.eu","Deutscher Wetterdienst"
"http://dwd-shop.de","Deutscher Wetterdienst"
"http://dwd-shop.eu","Deutscher Wetterdienst"
"http://eba.bund.de","Eisenbahn-Bundesamt"
"http://e-bundestag.de","Bundestag"
"http://e-goverment.eu","Bundestag"
"http://einfach-leichte-sprache.de","Bundesministerium für Arbeit und Soziales"
"http://einfachteilhaben.de","Bundesministerium für Arbeit und Soziales"
"http://einfachteilhaben.mobi","Bundesministerium für Arbeit und Soziales"
"http://xn--einsatzfrarbeit-6vb.de","Bundesministerium für Arbeit und Soziales"
"http://einsatzfuerarbeit.de","Bundesministerium für Arbeit und Soziales"
"http://ein-und-ausblicke.de","Bundestag"
"http://eisenbahn-unfalluntersuchung.de/","Bundesstelle für Eisenbahnunfalluntersuchung"
"http://energie-fuer-morgen.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://eparlament.de","Bundestag"
"http://e-parliament.de","Bundestag"
"http://equal.de","Bundesministerium für Arbeit und Soziales"
"http://esa-cloud-cci.eu","Deutscher Wetterdienst"
"http://esa-cloud-cci.info","Deutscher Wetterdienst"
"http://esa-cloud-cci.net","Deutscher Wetterdienst"
"http://esa-cloud-cci.org","Deutscher Wetterdienst"
"http://esf.de","Bundesministerium für Arbeit und Soziales"
"http://esf-foerderung.de","Bundesministerium für Arbeit und Soziales"
"http://esf-in-deutschland.de","Bundesministerium für Arbeit und Soziales"
"http://esf-meine-geschichte.de","Bundesministerium für Arbeit und Soziales"
"http://esf-programm.de","Bundesministerium für Arbeit und Soziales"
"http://european-enet.org","Bundeskriminalamt"
"http://evergabe-online.info","Beschaffungsamt des Bundesministeriums des Innern"
"http://fachkraefte-allianz.de","Bundesministerium für Arbeit und Soziales"
"http://fachkraefteoffensive.de","Bundesministerium für Arbeit und Soziales"
"http://fachkraeftewoche.de","Bundesministerium für Arbeit und Soziales"
"http://xn--fachkrfte-allianz-vqb.de","Bundesministerium für Arbeit und Soziales"
"http://xn--fachkrfteoffensive-qtb.de","Bundesministerium für Arbeit und Soziales"
"http://xn--fachkrftewoche-bib.de","Bundesministerium für Arbeit und Soziales"
"http://favorit.de","Bundesverwaltungsamt"
"http://federal-ministry-of-finance.de","Bundesministerium der Finanzen"
"http://finanzforscher.de","Bundesministerium der Finanzen"
"http://fli.bund.de","Friedrich-Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit"
"http://flugmet.de","Deutscher Wetterdienst"
"http://flugmet.eu","Deutscher Wetterdienst"
"http://flugwetter-beratung.de","Deutscher Wetterdienst"
"http://flugwetter.de","Deutscher Wetterdienst"
"http://flugwetter.eu","Deutscher Wetterdienst"
"http://foerdern-und-fordern.info","Bundesministerium für Arbeit und Soziales"
"http://fondsheimkinder.de","Bundesministerium für Arbeit und Soziales"
"http://fons-civitatis.de","Bundesverwaltungsamt"
"http://xn--frdern-und-fordern-d3b.info","Bundesministerium für Arbeit und Soziales"
"http://xn--freinlebenswertesland-8hc.de","Bundesministerium für Arbeit und Soziales"
"http://fuereinlebenswertesland.de","Bundesministerium für Arbeit und Soziales"
"http://gcos.de","Deutscher Wetterdienst"
"http://gda-psyche.de","Bundesministerium für Arbeit und Soziales"
"http://gemeinsam-einfach-machen.de","Bundesministerium für Arbeit und Soziales"
"http://generalbundesanwalt.de","Generalbundesanwalt beim Bundesgerichtshof"
"http://generationenarbeit.de","Bundesministerium für Arbeit und Soziales"
"http://generationpraktikum.de","Bundesministerium für Arbeit und Soziales"
"http://gesundheitswetter.eu","Deutscher Wetterdienst"
"http://gisc-germany.eu","Deutscher Wetterdienst"
"http://gisc-offenbach.eu","Deutscher Wetterdienst"
"http://glasklar-bundestag.de","Bundestag"
"http://globalisierungsfonds.de","Bundesministerium für Arbeit und Soziales"
"http://government-site-builder.de","Bundesverwaltungsamt"
"http://gp-habitat.de","Bundestag"
"http://gph-habitat.de","Bundestag"
"http://gruan.org","Deutscher Wetterdienst"
"http://gsnmc.eu","Deutscher Wetterdienst"
"http://gute-arbeit-alleinerziehende.de","Bundesministerium für Arbeit und Soziales"
"http://hartziv.de","Bundesministerium für Arbeit und Soziales"
"http://heimkinder-fonds.de","Bundesministerium für Arbeit und Soziales"
"http://hinzuverdienstrechner.de","Bundesministerium für Arbeit und Soziales"
"http://ida.de","Bundesministerium für Arbeit und Soziales"
"http://infrastrukturministerium.de","Bundesministerium für Verkehr und digitale Infrastruktur"
"http://xn--initiative-fr-fachkraefte-qwc.de","Bundesministerium für Arbeit und Soziales"
"http://xn--initiative-fr-fachkrfte-f8b50d.de","Bundesministerium für Arbeit und Soziales"
"http://initiative-neue-qualitaet-der-arbeit.de","Bundesministerium für Arbeit und Soziales"
"http://inklusionslandkarte.de","Bundesministerium für Arbeit und Soziales"
"http://innerersicherheitsfonds.de","Bundeskriminalamt"
"http://inqa-bestellservice.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-check.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-ddn.de","Bundesministerium für Arbeit und Soziales"
"http://inqa.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-demografie.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-demographie.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-demographie-netzwerk.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-epoxibewertung.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-kmu.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-mittelstand.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-pflege.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-produktion.de","Bundesministerium für Arbeit und Soziales"
"http://inqa-stress.de","Bundesministerium für Arbeit und Soziales"
"http://integration-in-deutschland.de","Bundesamt für Migration und Flüchtlinge"
"http://internetenquete.de","Bundestag"
"http://isyfact.de","Bundesverwaltungsamt"
"http://isyfact-standards.de","Bundesverwaltungsamt"
"http://itzbund.de","Informationstechnikzentrum Bund"
"http://iud.bundeswehr.de","Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr"
"http://jakob-kaiser-haus.de","Bundestag"
"http://job3punkt0.de","Bundesministerium für Arbeit und Soziales"
"http://job3punktnull.de","Bundesministerium für Arbeit und Soziales"
"http://jobcenterreform.de","Bundesministerium für Arbeit und Soziales"
"http://jobcenterservice.de","Bundesministerium für Arbeit und Soziales"
"http://jobcentersuche.de","Bundesministerium für Arbeit und Soziales"
"http://job-drei-null.de","Bundesministerium für Arbeit und Soziales"
"http://jobdreipunktnull.de","Bundesministerium für Arbeit und Soziales"
"http://jobsohnebarrieren.de","Bundesministerium für Arbeit und Soziales"
"http://jugendinarbeit.de","Bundesministerium für Arbeit und Soziales"
"http://julius-kuehn.de","Julius-Kühn Institut, Bundesforschungsinstitut für Kulturpflanzen"
"http://kba.de","Kraftfahrt-Bundesamt"
"http://kbst.bund.de","Der Beauftragte der Bundesregierung für Informationstechnik"
"http://kfw-foerderbank.de","KfW-Kommunalbank"
"http://kinderkommission.de","Bundestag"
"http://kkr.bund.de","Kompetenzzentrum für das Kassen- und Rechnungswesen des Bundes"
"http://klimadaten.eu","Deutscher Wetterdienst"
"http://klimadeutschland.de","Deutscher Wetterdienst"
"http://klimagutachten.eu","Deutscher Wetterdienst"
"http://klimamonitoring.de","Deutscher Wetterdienst"
"http://klimaservices.de","Deutscher Wetterdienst"
"http://klimaueberwachung.de","Deutscher Wetterdienst"
"http://klimaueberwachung.eu","Deutscher Wetterdienst"
"http://kliwas.de","Deutscher Wetterdienst"
"http://kommando.streitkraeftebasis.de","Amt für den Militärischen Abschirmdienst"
"http://kulturstaatsminister.de","Die Beauftragte der Bundesregierung für Kultur und Medien"
"http://kunst-im-bundestag.de","Bundestag"
"http://kuppel-kucker.de","Bundestag"
"http://kuppel-kucker.info","Bundestag"
"http://kuppel-kucker.org","Bundestag"
"http://lba.de","Luftfahrt-Bundesamt"
"http://lebenslagen-in-deutschland.de","Bundesministerium für Arbeit und Soziales"
"http://leitfadeninklusion.de","Bundesministerium für Arbeit und Soziales"
"http://lernplattform.bund.de","Hochschule des Bundes für öffentliche Verwaltung"
"http://lohntarifpaket.de","Bundesministerium für Arbeit und Soziales"
"http://luftwaffe.de","Kommando Luftwaffe"
"http://mad.bundeswehr.de","Amt für den Militärischen Abschirmdienst"
"http://marie-elisabeth-lueders-haus.de","Bundestag"
"http://mauer-mahnmal.de","Bundestag"
"http://m.budget.bmas.de","Bundesministerium für Arbeit und Soziales"
"http://medizinwetter.eu","Deutscher Wetterdienst"
"http://meincomeback.de","Bundesministerium für Arbeit und Soziales"
"http://mein-comeback.info","Bundesministerium für Arbeit und Soziales"
"http://m.einfachteilhaben.de","Bundesministerium für Arbeit und Soziales"
"http://meinmicrocredit.com","Bundesministerium für Arbeit und Soziales"
"http://meinmicrocredit.de","Bundesministerium für Arbeit und Soziales"
"http://meinmicrocredit.eu","Bundesministerium für Arbeit und Soziales"
"http://mein-microkredit.com","Bundesministerium für Arbeit und Soziales"
"http://meinmicrokredit.de","Bundesministerium für Arbeit und Soziales"
"http://mein-microkredit.eu","Bundesministerium für Arbeit und Soziales"
